ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban,cpu_NAN,ram_gb_NAN,o_cung_gb_NAN,vga_NAN
Laptop Msi Cyborg 15 A13UC-2082VN (i7-13620H/ GeForce RTX™ 3050/ 16GB/ 512GB/ Win 11 Home SEA),Msi,Core i7,16.0,512.0,NVIDIA Card Rời,30690000,0,0,0,0
MacBook Pro M5 14 inch 2025 (10 CPU/ 10 GPU/ 16GB/ 1TB),Apple,Không rõ,16.0,1024.0,Apple GPU,46899000,0,0,0,0
MacBook Pro M5 14 inch 2025 (10 CPU/ 10 GPU/ 16GB/ 512GB),Apple,Không rõ,16.0,512.0,Apple GPU,41999000,0,0,0,0
MacBook Pro M5 14 inch 2025 (10 CPU/ 10 GPU/ 24GB/ 1TB),Apple,Không rõ,24.0,1024.0,Apple GPU,51799000,0,0,0,0
Laptop Asus ROG Strix SCAR 18 G835LW-SA193W (Ultra 9 275HX/ GeForce RTX™ 5080/ 32GB/ 1TB/ Win 11 Home),Asus,Core Ultra 9,32.0,1024.0,NVIDIA Card Rời,88390000,0,0,0,0
Laptop HP OmniBook X Flip 14-fm0076TU - BZ7P6PA (Ultra 7-258V/ 32GB/ 512GB/ Win 11 Home SL + Office),Hp,Core Ultra 7,32.0,512.0,Onboard,37390000,0,0,0,0
Laptop HP OmniBook X Flip 14-fk0092AU - BZ7P5PA (Ryzen AI 5 340/ 16GB/ 512GB/ Win 11 Home SL + Office),Hp,Ryzen 5,16.0,512.0,AMD Card Rời,28690000,0,0,0,0
Laptop HP OmniBook 5 AI 16-af1052TU - C1MN6PA (Ultra 7-255U/ 32GB/ 512GB/ Win 11 Home SL + Office),Hp,Core Ultra 7,32.0,512.0,Onboard,31390000,0,0,0,0
Laptop HP OmniBook 5 AI 16-af1054TU - C1MN8PA (Ultra 7-255U/ 32GB/ 512GB/ Win 11 Home SL + Office),Hp,Core Ultra 7,32.0,512.0,Onboard,30590000,0,0,0,0
Laptop Dell 16 DC16250 - 71076092 (Core 5 120U/ 16GB/ 1TB/ Win 11 Home + Office + Microsoft),Dell,Core i5,16.0,1024.0,Onboard,25290000,0,0,0,0
Laptop Dell 16 Plus DB16250 - DB6U5387W1 (Ultra 5-226V/ 16GB/ 1TB/ Win 11 Home + Office + Microsoft),Dell,Core Ultra 5,16.0,1024.0,Onboard,30990000,0,0,0,0
Laptop Dell 16 DC16251 - DC6C7557W1 (Core 7 150U/ GeForce MX570A/ 16GB/ 1TB/ Win 11 Home + Office + Microsoft),Dell,Core i7,16.0,1024.0,Onboard,29990000,0,0,0,0
Laptop Dell 15 DC15250 - DC5I7748W1 (i7-1355U/ 16GB/ 512GB/ Win 11 Home SL + Office),Dell,Core i7,16.0,512.0,Onboard,21390000,0,0,0,0
Laptop Dell 16 DC16250 - C7U161W11BLU (Core 7 150U/ 16GB/ 1TB/ Win 11 Home + Office + Microsoft),Dell,Core i7,16.0,1024.0,Onboard,26990000,0,0,0,0
Laptop Dell 15 DC15250 - i7U161W11SLU (i7-1355U/ 16GB/ 1TB/ Win 11 Home SL + Office),Dell,Core i7,16.0,1024.0,Onboard,24490000,0,0,0,0
Laptop Acer Aspire 16 AI A16-71M-71U7 (Ultra 7-155H/ 16GB/ 512GB/ Win 11 Home SL),Acer,Core Ultra 7,16.0,512.0,Onboard,22590000,0,0,0,0
Laptop Lenovo Legion 5 15IRX10 - 83LY00HQVN (i7-13650HX/ GeForce RTX™ 5060/ 16GB/ 512GB/ Win 11 Home SL + Office),Lenovo,Core i7,16.0,512.0,NVIDIA Card Rời,45990000,0,0,0,0
