ten_san_pham,thuong_hieu,cpu,ram_gb,o_cung_gb,vga,gia_ban
Dell XPS 15 i7- 16GB/256GB card rời màn 4k,Dell,Core i7,16,256,Onboard,8200000
Dell XPS 13 9380 i7-8565U 13.3 inch 16GB/256GB,Dell,Core i7,16,256,Onboard,9500000
Lenovo ThinkPad T490s i5 Gen 8 14 inch 8GB/256GB,Lenovo,Core i5,8,256,Onboard,5000000
Lenovo Slim3 16IRH10 83K20002VN i5 13420H 16G/512G,Lenovo,Core i5,16,512,Onboard,14500000
Apple Macbook Pro i7 16 inch 16GB/512GB,Apple,Core i7,16,512,Apple GPU,8700000
Dell Latitude 5330 i7-1265U 13.3 inch 16GB/512GB,Dell,Core i7,16,512,Onboard,8900000
Dell Latitude 5410 i7-10610U 14 inch 16GB/256GB,Dell,Core i7,16,256,Onboard,6500000
MSI Creator M16 i7-12700H 16 inch 16GB/512GB,Msi,Core i7,16,512,Onboard,30000000
HP ELITEBOOK 850 G8 I5 1135G7 8G 256GB 15.6FHD USA,Hp,Core i5,8,256,Onboard,8000000
Lenovo Thinkpad T490 i7-8665U 14 inch 16GB/256GB,Lenovo,Core i7,16,256,Onboard,5900000
MSI CYBORG 15 A13V i7-13620H 16GB/512GB Mới 99%,Msi,Core i7,16,512,Onboard,16500000
LAPTOP HP 840G8 COR I7 1185G7 RAM 16G SSD 512G,Hp,Core i7,16,512,Onboard,10000000
Dell Latitude 5320 I5 1135G7 13.3 inch 8GB/256GB,Dell,Core i5,8,256,Onboard,4500000
Rog Strix G531 i5-9300H/16GB/256GB/GTX1050/120Hz,Khác,Core i5,16,256,NVIDIA Card Rời,9900000
Lenovo Thinkbook 15-G5 New 100% (i5-1335U/8G/256G),Lenovo,Core i5,8,256,Onboard,10800000
Dell Latitude 7290 i7-8650U 12.5 inch 8GB/256GB,Dell,Core i7,8,256,Onboard,5200000
thinkpad x13 gen1 i7-10510 ram 16g ssd 256g-13.3in,Khác,Core i7,16,256,Onboard,6800000
"Macbook Air M3 8GB/256GB - Đẹp 99%, Nguyên Zin",Apple,Apple M-Series,8,256,Apple GPU,16500000
"Dell Latitude 5280/i5-7300/12.5""/8GB/256GB/New 98%",Dell,Core i5,8,256,Onboard,2900000
Hp Spectre 13 Vỏ nhôm i7 7500u 8gb 512gb nguyên zi,Hp,Core i7,8,512,Onboard,4500000
Thinkpad T14 G1 i7 10610 16G 256G 14FHD W10,Khác,Core i7,16,256,Onboard,8800000
ASUS TUF A15 Ryzen 7 7435HS 16GB/512GB/RTX 2050,Asus,Ryzen 7,16,512,NVIDIA Card Rời,12500000
Apple Macbook Pro 13 i5 13.3 inch 8GB/256GB,Apple,Core i5,8,256,Apple GPU,4300000
MacBook Air 2017 i5 13.3 inch 8GB/128GB/kèm sạc,Apple,Core i5,8,128,Apple GPU,4390000
"MSI Thin 15 i5-12450H, RTX 3050, 16GB 512GB còn BH",Msi,Core i5,16,512,NVIDIA Card Rời,12990000
Dell Precision 5530 i7-8850H 16GB/ 512GB/ P1000,Dell,Core i7,16,512,Onboard,6500000
Dell Latitude 7390 i5-8250U 13.3 inch 8GB/256GB,Dell,Core i5,8,256,Onboard,6499999
Dell 16 Plus RTX 4060 8Gb Ultra 7 155H 32GB/2TB,Dell,Core Ultra 7,8,2048,NVIDIA Card Rời,26500000
"Thinkpad X1 Carbon G9 i7 1185G7 16G 256G 14"" Touch",Khác,Core i7,16,256,Onboard,14200000
HP 14-ep0220TU i3-1315U 14 inch 8GB/256GB,Hp,Core i3,8,256,Onboard,6900000
Acer Nitro 5 i5-10300H 16GB/512GB 1650Ti,Acer,Core i5,16,512,Onboard,10800000
HP i3 Gen 8 8GB/256GB SSD,Hp,Core i3,8,256,Onboard,4500000
"Macbook Pro 15inch 2019 CORE I7, RAM 16GB,.256GB",Apple,Core i7,16,256,Apple GPU,10500000
Asus tuf ryzen 5 4600/ ram 16g/ ssd 512g/ gtx1650,Asus,Ryzen 5,16,512,NVIDIA Card Rời,10500000
LENOVO X1 CARBON GEN 9 I7 1185G7 16G 256G 14”4K US,Lenovo,Core i7,16,256,Onboard,14900000
✅MacBook Air M1 Ram 16G | SSD 256G (Trả Góp OĐồng),Apple,Apple M-Series,16,256,Apple GPU,13800000
"LAPTOP RAZER I7 10875H/16G/512G/2070S 8G/15.6"" FHD",Khác,Core i7,16,512,Onboard,15900000
"DELL PRECISION 3551 I9 10885H 8G 256G 15.6""P620 4G",Dell,Core i9,8,256,Onboard,9500000
"LAPTOP RAZER I7 10875H/16G/512G/2070S 8G/15.6""FHD",Khác,Core i7,16,512,Onboard,15900000
Galleria i5-8300H 15.6 inch 16GB/256GB Card 1050ti,Khác,Core i5,16,256,Onboard,7000000
HP Core i5 Thế hệ 12 15.6inch  8GB/512GB đời mới,Hp,Core i5,8,512,Onboard,6250000
Dell Precision 5530 i7-8850H 16GB/256GB P1000,Dell,Core i7,16,256,Onboard,8000000
"LAPTOP ASUS i7 11370H/16G/512G/3050 4G/15.6"" OLED",Asus,Core i7,16,512,Onboard,12500000
LAPTOP ASUS i7 11370H/16G/512G/3050 4G/15.6IN OLED,Asus,Core i7,16,512,Onboard,12500000
Apple MacBook Pro 2016 i5 8GB/256GB,Apple,Core i5,8,256,Apple GPU,5200000
HP Elitebook 830 G5 i5 Gen 8 8GB/256GB,Hp,Core i5,8,256,Onboard,6500000
LAPTOP ACER AI ULTRA 7 155H/16GB/1TB/14INCH TOUCH,Acer,Core Ultra 7,16,1024,Onboard,14500000
LAPTOP ACER AI ULTRA 7 155H/16GB/1TB/14IN TOUCH,Acer,Core Ultra 7,16,1024,Onboard,14500000
💻Apple MacBook Pro 2018 i7 15.4 inch 16GB/256GB,Apple,Core i7,16,256,Apple GPU,9990000
"Dell Latitude 5511 i5-10300H, Ram 8G, SSD 256G,",Dell,Core i5,8,256,Onboard,6600000
Dell latitude i7 gen 10 ram 8GB/256GB,Dell,Core i7,8,256,Onboard,6500000
Apple MacBook Air 2017 i5 8GB/128GB,Apple,Core i5,8,128,Apple GPU,3500000
HP 15s-fq1022TU i7 15.6 inch 8GB/512GB,Hp,Core i7,8,512,Onboard,12500000
Acer Aspire Lite 15 i5-12450H 15.6 inch 16GB/512GB,Acer,Core i5,16,512,Onboard,10000000
"Laptop Lenovo V14 G4 IRU i3-1315U/8GB/512GB/14""FHD",Lenovo,Core i3,8,512,Onboard,10800000
"Dell Latitude 7290 Core i5-8250U/8GB/256GB 12.5""",Dell,Core i5,8,256,Onboard,3900000
MacBook Pro M2 13” 2022 16g/512g sạc24 lầnbh3 th,Apple,Apple M-Series,16,512,Apple GPU,20900000
Laptop Dell Ryzen 5 5500U 8GB/512GB 15.6inch FHD,Dell,Ryzen 5,8,512,Onboard,7000000
Lenovo Legion 5 Pro i9-12900H 16 inch 16GB/512GB,Lenovo,Core i9,16,512,Onboard,23600000
Acer F5-573G i5-6200U 8GB/128GB,Acer,Core i5,8,128,Onboard,2950000
Lenovo ThinkPad X1 Carbon Gen 6 i5-8250U 8GB/256GB,Lenovo,Core i5,8,256,Onboard,6250000
MSI Katana 15 i7-13620H 32GB/1TB - RTX 4060,Msi,Core i7,32,1024,NVIDIA Card Rời,25500000
Laptop Asus i3-11th 8GB/512GB Màn 14inch FHD,Asus,Core i3,8,512,Onboard,5000000
Apple MacBook Air M1 8GB/256GB Vàng,Apple,Apple M-Series,8,256,Apple GPU,9900000
"HP Pavilion 13 Ryzen 5-7535, RAM 16GB, SSD 256GB",Hp,Ryzen 5,16,256,Onboard,7000000
"Surface Laptop 1 Core i5 -7200U 8GB 256GB 13.5 """,Surface,Core i5,8,256,Onboard,4800000
HP ProBook 450 G5 i5gen8/8GB/128GB 500gb,Hp,Core i5,8,128,Onboard,4100000
MacBook Pro 2018 i5 8GB/512GB,Apple,Core i5,8,512,Apple GPU,8800000
Dell Precision 5560 i7-11850H/16GB/512GB/RTX A2000,Dell,Core i7,16,512,Onboard,19900000
💻 Apple MacBook Pro 2015 i5 16GB/512GB Silver,Apple,Core i5,16,512,Apple GPU,4890000
Dell Latitude i5 Gen 8th 8GB/256G cảm ứng/mỏng đẹp,Dell,Core i5,8,256,Onboard,5479000
Lenovo Thinkpad X1 Carbon gen 11 i7-1365U 16GB/1TB,Lenovo,Core i7,16,1024,Onboard,16500000
AIR M2 13'' Starlight / 16G / 256G / BHCH 6-2026VN,Khác,Apple M-Series,16,256,Onboard,15700000
Dell Latitude 5510 Core i5 8GB/256GB,Dell,Core i5,8,256,Onboard,6500000
"Dell E7270 ( I7-6600U/ 8GB/ SSD 256GB/ 12.5""FHD)",Dell,Core i7,8,256,Onboard,5500000
Dell Inspiron 7359 i5-6200U 8GB/256GB 2in1,Dell,Core i5,8,256,Onboard,4800000
MacBook Pro 14-inch M2 Pro 16GB/1TB Bạc 99%,Apple,Apple M-Series,16,1024,Apple GPU,28900000
Dell Inspiron 3493 i5-1035G1 8GB/256GB màn 14 inh,Dell,Core i5,8,256,Onboard,4300000
